Nombre;Especialidad;Bio;Twitter;LinkedIn;Foto
Gonzalo Pérez;MS MVP - Mobile Developer - Web Developer.;Destacado desarrollador de software y docente de la Región.;chalalo;;https://pbs.twimg.com/profile_images/2456301977/nh46kz1otuy6f1fdd5cs.png
Yoel Torres;Co-founder Jaumach? - Co-founder Verdant;Ingeniero Comercial y emprendedor en diversos proyectos digitales en la región del Bío-Bío.;ytorres05;;https://pbs.twimg.com/profile_images/378800000669800879/6e5bef97c23e61a817616f059d5d90b0.jpeg
Javier Chacana;Senior Java Developer - Ingeniero de Software;Ingeniero Civil Informático de la Universidad del Bío-Bío actualmente radicado en la región Metropolitana. Con vasta experiencia en Ingeniería de Software.;jchacana;;https://pbs.twimg.com/profile_images/3614275930/5ee07980b650f73f9742201aadc67dc3.jpeg
Jasna Meza;Sun Certified Java Programmer SCJP 5.0 - Docente;Magister en Ciencias de la Computación, Docente instructor del área de programación en DuocUC de cursos asociados a POO, Analis y Diseño de Algoritmos y Programación.;;http://www.linkedin.com/pub/jazna-meza-hidalgo/2b/7a0/586;https://s3-us-west-2.amazonaws.com/kiit-files-public/codecamp/JMH.JPG
Andrés Villagrán;Mobile Developer - Web Developer - Game Developer - Apps Developer;Destacado desarrollador de software en diferentes plataformas para diversas empresas nacionales. Organizador del Flex Camp Chile y co-founder de VillagranQuiroz.;avillagran;;https://pbs.twimg.com/profile_images/1242718055/Perfil.png
Lautaro Silva;Ingeniero de Software - Realidad Virtual - GIS;(c)Magister en Ciencias de la Computación, Universidad del Bio-Bio, Chile. Ingeniero de Ejecución en Computación e Informática. Participó como desarrollador experto en Realidad Virtual en el Proyecto Alfa III Gaviota de la Unión Europea utilizando Realidad Virtual para la simulación de espacios urbanos y simulación de conducción.;jlautarosilva;;https://pbs.twimg.com/profile_images/3324042068/8cec32a0f24fd9114bdc5645b0d5ca30.png
Brede Basualdo;Web Developer - Mobile Developer;Destacado desarrollador de software regional que ha participado en importantes proyectos tanto a nivel regional como nacional y ha colaborado en diversos emprendimientos.;BredeBS;;https://pbs.twimg.com/profile_images/378800000735504080/3532ca33acd6f7c9c3706ed0eeb429cb.jpeg
Rodrigo Ramirez;CEO Blackhole - Director TI Hablalot;Ingeniero en Informática con experiencia de 10 años desarrollando soluciones TI. Especializado en Soluciones VoIP.;;http://www.linkedin.com/in/rodrigoramireznorambuena;http://farm5.static.flickr.com/4052/4310420600_91c9099e20.jpg
Karina Gonzalez;Mobile Developer - Android Developer;Analista Programador Computacional de DuocUC, developer Android.;;;http://m.c.lnkd.licdn.com/media/p/1/000/1cf/03e/2a9e5f4.jpg
Camilo Castro;iOS Developer - Parse.com Specialist;Desarrollador iOS;camcasc;;https://s3-us-west-2.amazonaws.com/kiit-files-public/codecamp/yo.jpg
CodeCamp;;;;;
Qualitat Corp;;;;;
Innova BioBio;;;;;
Alejandro Melo Domínguez;;;;;
Sandro Gomez A.;;;;;
