Ubicación;Tema;Tipo;Expositor;Fecha;Hora Inicio;Hora Fin
Auditorio;Apertura;General;CodeCamp;Viernes 25;14.00;14.30
Auditorio;Líneas de financiamiento de Innova Bío Bío y casos de éxito.;General;Innova BioBio;Viernes 25;14.30;15.00
Auditorio;Smart City Gran Concepción;General;Alejandro Melo Domínguez;Viernes 25;14.30;15.00
Auditorio;Mobile Services;Charla;Gonzalo Pérez;Viernes 25;15.00;16.30
Auditorio;Del Papel al Éxito: Canvas.;Taller;Yoel Torres;Viernes 25;16.30;17.30
Laboratorio 1;Desarrollo en Android;Taller;Gonzalo Pérez;Viernes 25;16.30;17.30
Aula;Súbete a la Nube Voladora: Amazon Web Services;Taller;Sandro Gomez A.;Viernes 25;16.30;17.30
Auditorio;Conversatorio / Cierre;General;CodeCamp;Viernes 25;17.30;18.00
Auditorio;Apertura;General;CodeCamp;Sábado 26;10.00;10.30
Auditorio;Asterik: Abriendo el mundo de las comunicaciones;Speech;Rodrigo Ramirez;Sábado 26;10.30;11.00
Auditorio;Realidad Vs. Fantasía en la Industria del Software;Speech;Javier Chacana;Sábado 26;11.00;11.30
Auditorio;Realidad Virtual;Speech;Qualitat Corp;Sábado 26;11.30;12.00
Laboratorio 2;Desarrollo Móvil con Android;Taller;Karina Gonzalez;Sábado 26;10.30;11.30
Aula;Bootstrap es la Cumbia;Charla;Brede Basualdo;Sábado 26;10.30;11.30
Auditorio;Break 1;General;CodeCamp;Sábado 26;12.00;12.30
Auditorio;Una aproximación a las metodologías ágiles;Taller;Javier Chacana;Sábado 26;12.30;13.30
Laboratorio 1;Desarrollando en iOS con Parse.com;Taller;Camilo Castro;Sábado 26;12.30;13.30
Laboratorio 2;Java + Hibernate: The easy way;Taller;Jasna Meza;Sábado 26;12.30;13.30
Auditorio;Break 2;General;CodeCamp;Sábado 26;13.30;14.30
Auditorio;Expo APP;Taller;CodeCamp;Sábado 26;14.30;15.30
Laboratorio 1;Desarrollando con Ruby con Padrino;Taller;Andrés Villagrán;Sábado 26;14.30;15.30
Laboratorio 2;Realidad Virtual con Oculus Rift + MS Kinect;Taller;Lautaro Silva;Sábado 26;14.30;15.30
Auditorio;Challenge / Pizza / Cierre;General;CodeCamp;Sábado 26;15.30;18.00
